answer_id,question_id,user_id,display_name,reputation,is_accepted,score
73547046,45907034,1703772,NuclearPeon,6039,False,0
79407768,42469087,424499,Raymond Hettinger,226181,False,0
79407804,79406599,367456,hakre,197564,False,0
79407803,25761326,16974218,adamency,1500,False,0
79407801,60735903,19652056,alex-kar,23,False,0
79407800,79407120,254643,Raghuram,52635,False,0
79407799,33203173,9302766,saifazom,1,False,0
79407797,79407784,28270867,Anil,51,False,0
79407073,69701575,6654963,Conor Hinchee,53,False,0
79407794,79407718,11405787,啊鹿Dizzyi,794,False,0
79407793,79406907,20288521,Dou Xu-MSFT,3196,False,0
76203395,76199099,11107541,starball,50045,False,0
79407791,2681241,3414124,Xtremexploit,327,False,0
79407790,42222347,22831413,Agung Gunawan,1,False,0
79407617,79407403,4965549,Tom,51566,False,0
79407785,79407385,20289064,ATHARSH S,1,False,0
79407735,79389037,10802527,K J,11737,False,0
79407783,79407749,3214202,sonle,8886,False,1
79407782,70897330,15752999,Oren Sayag,41,False,0
79407780,79386658,264022,Cine,4392,False,0
79407775,79406028,24651605,Bob Gatto,95,False,0
79406440,79406129,2422776,Mureinik,311018,True,1
79407751,79402348,14697693,Bright Ran-MSFT,13454,False,0
79405738,79405535,552759,jtahlborn,53684,True,8
72678899,72675084,15261315,Chris,36476,False,0
79407770,79407470,768644,rzwitserloot,102813,False,0
79407765,79407677,844416,MBo,80117,False,1
79407764,79403880,18060648,Valerie Wang,21,False,0
79406796,79406782,16639014,firespark,1,False,-1
79407763,79407747,6152400,P.Salmon,17590,False,0
79407762,53764588,25499795,Radmir,1,False,0
79407761,79393949,3877726,Blindman67,54026,False,0
79407760,45663874,4573839,yu yang Jian,7165,False,0
79407757,79406670,17455524,Liyun Zhang - MSFT,14224,False,0
51867900,51867874,2414894,SachaDee,9545,True,20
79407750,74221492,29475698,bthomps,1,False,0
79407752,62800892,29358640,Atanu Dasgupta,1,False,0
79407748,79402587,13794178,sujoybyte,604,False,0
79407745,43732270,29475659,Arpan Mondal,1,False,0
70266471,70264426,15261315,Chris,36476,False,3
78818127,78312814,16599610,astropos,23,False,0
52410753,44119207,10386767,Justin Hallas,651,False,19
79407740,79407583,10195153,danblack,14676,False,1
79407739,79382896,11107541,starball,50045,False,1
79407729,75679437,1004209,shotor,974,False,0
79407734,3594091,2260345,Mir Gulam Sarwar,2648,False,0
79407733,79405724,29446237,dulgnn,1,False,0
79403052,71514359,24098746,Somesh Nayek,1,False,0
60607438,60507612,2347002,CaitlinWeb,76,False,4
61049730,907695,12039019,Swelan Auguste,21,False,1
79407726,49790557,5783745,stevec,52208,False,0
79406420,79260111,29468016,shubham Diyundi,1,False,0
79407722,79406907,84507,Sergey Vlasov,27880,False,0
75417817,73589100,21190944,Anagba,1,False,-1
79407720,79269749,23449978,Gbotdays,23,False,0
79407719,79143533,7460214,Aury0n,217,False,0
79407715,79407690,7087604,Aur&#233;lien Pierre,693,False,0
54606458,49704975,2209497,Lai32290,8548,True,2
79402049,9216675,10932931,Abhiranjan Singh,1,False,-1
79407713,49110818,692626,dan carter,4341,False,0
79407712,79407680,7514527,Edward,18503,False,1
79407711,79406100,20240963,Qiang Fu,8335,False,0
55757329,55747567,7025276,chenjd,31,False,0
79398788,79398148,7623856,Belayer,14861,False,1
79407708,79407609,22577409,Suramuthu R,1898,False,0
79407707,79407607,6788255,marcothesane,6721,False,0
79407706,79094555,2702556,Adil,231,False,0
79400997,79400506,10839134,Dimitris Maragkos,11302,False,0
60114551,52644621,6335137,Eliod,31,False,3
79407705,79407697,26493645,BCA SCHOOL,11,False,0
79407704,32036146,4228589,Michael N,559,False,-2
79407703,79407604,11097728,mekings,446,True,1
79407700,79390141,7344661,Tarun Vikash,43,True,0
79407685,30665395,24877015,LopHocViTinh COM,1,False,-1
79407161,79404241,8586227,Davis Herring,39758,False,0
79407698,79407655,28270867,Anil,51,True,1
79407696,79348341,29469970,nate,130,False,0
54386381,12212504,2989503,vincedgy,435,False,11
68549851,68549248,3585796,Phil Dukhov,87615,True,14
79407675,79406036,16764520,Minxin Yu - MSFT,4110,False,0
79407623,79407420,22577409,Suramuthu R,1898,False,0
79407688,76379624,1669748,Gideon,1058,False,0
76388572,76210795,5019435,Sergei Doroshenko,86,True,1
79407687,79397564,22988071,Maira S,47,False,0
79407686,79407634,29474853,Roger,1,False,-2
79405843,79405262,11969817,workingdog support Ukraine,36226,False,2
77795581,77790476,3320563,Buck3000,371,False,2
79407682,79407655,330457,Jin Kwon,21978,False,0
79407681,79407607,22664662,riz,116,False,1
79407678,77875468,11107541,starball,50045,False,0
79407288,79400555,29469970,nate,130,False,1
79407676,39492171,21750938,D H,1,False,0
79407673,79406414,29475123,user29475123,1,False,0
79407672,79407420,23238601,dolmok,134,False,0
79380104,79378058,16162444,Miao Tian-MSFT,5432,False,0
79407668,70281198,11729522,nyancodes,51,False,0
